utterance_id	batch	pattern	word_spaced	word_script	diphone_count	diphones
1	single	2	z u w i X ? a H	_z u w i X ? a H_	9	_-z z-u u-w w-i i-X X-? ?-a a-H H-_
2	single	2	g i t i m q e. s.	_g i t i m q e. s._	9	_-g g-i i-t t-i i-m m-q q-e. e.-s. s.-_
3	single	2	s. i. m u m S e k	_s. i. m u m S e k_	9	_-s. s.-i. i.-m m-u u-m m-S S-e e-k k-_
4	single	2	b u t e l n e l	_b u t e l n e l_	9	_-b b-u u-t t-e e-l l-n n-e e-l l-_
5	single	2	S a x i l g a S	_S a x i l g a S_	9	_-S S-a a-x x-i i-l l-g g-a a-S S-_
6	single	2	l a s i r s e t.	_l a s i r s e t._	9	_-l l-a a-s s-i i-r r-s s-e e-t. t.-_
7	single	2	x u s. a. k b e r	_x u s. a. k b e r_	9	_-x x-u u-s. s.-a. a.-k k-b b-e e-r r-_
8	single	2	j e s. u. m j a m	_j e s. u. m j a m_	9	_-j j-e e-s. s.-u. u.-m m-j j-a a-m m-_
9	single	2	k u n u k s. e. w	_k u n u k s. e. w_	9	_-k k-u u-n n-u u-k k-s. s.-e. e.-w w-_
10	single	2	r a d i p n i s	_r a d i p n i s_	9	_-r r-a a-d d-i i-p p-n n-i i-s s-_
11	single	2	t i d e x X a z	_t i d e x X a z_	9	_-t t-i i-d d-e e-x x-X X-a a-z z-_
12	single	2	? i j u n g e X	_? i j u n g e X_	9	_-? ?-i i-j j-u u-n n-g g-e e-X X-_
13	single	2	n e d i q X e g	_n e d i q X e g_	9	_-n n-e e-d d-i i-q q-X X-e e-g g-_
14	single	2	m i k i r S i k	_m i k i r S i k_	9	_-m m-i i-k k-i i-r r-S S-i i-k k-_
15	single	2	d u t. i. ? X u j	_d u t. i. ? X u j_	9	_-d d-u u-t. t.-i. i.-? ?-X X-u u-j j-_
16	single	2	p e l u z n a n	_p e l u z n a n_	9	_-p p-e e-l l-u u-z z-n n-a a-n n-_
17	single	2	t. e. x e p d u m	_t. e. x e p d u m_	9	_-t. t.-e. e.-x x-e e-p p-d d-u u-m m-_
18	single	2	H i t a r g u S	_H i t a r g u S_	9	_-H H-i i-t t-a a-r r-g g-u u-S S-_
19	single	2	p u r i S n u d	_p u r i S n u d_	9	_-p p-u u-r r-i i-S S-n n-u u-d d-_
20	single	2	q i. w i X n i b	_q i. w i X n i b_	9	_-q q-i. i.-w w-i i-X X-n n-i i-b b-_
21	single	2	z e m a m k i s.	_z e m a m k i s._	9	_-z z-e e-m m-a a-m m-k k-i i-s. s.-_
22	single	2	r e z a r b e ?	_r e z a r b e ?_	9	_-r r-e e-z z-a a-r r-b b-e e-? ?-_
23	single	1	i x b a t. j i	_i x b a t. j i_	8	_-i i-x x-b b-a a-t. t.-j j-i i-_
24	single	2	z i H e x S u g	_z i H e x S u g_	9	_-z z-i i-H H-e e-x x-S S-u u-g g-_
25	single	1	u b p i z m e	_u b p i z m e_	8	_-u u-b b-p p-i i-z z-m m-e e-_
26	single	2	k e w u z l a ?	_k e w u z l a ?_	9	_-k k-e e-w w-u u-z z-l l-a a-? ?-_
27	single	1	e j z a l r u	_e j z a l r u_	8	_-e e-j j-z z-a a-l l-r r-u u-_
28	single	2	s e t u t s. u. d	_s e t u t s. u. d_	9	_-s s-e e-t t-u u-t t-s. s.-u. u.-d d-_
29	single	3	X i i ? e i t.	_X i i ? e i t._	8	_-X X-i i-i i-? ?-e e-i i-t. t.-_
30	single	2	t. u. z i x s i p	_t. u. z i x s i p_	9	_-t. t.-u. u.-z z-i i-x x-s s-i i-p p-_
31	single	2	p u p a t s u r	_p u p a t s u r_	9	_-p p-u u-p p-a a-t t-s s-u u-r r-_
32	single	2	m i w a X S e S	_m i w a X S e S_	9	_-m m-i i-w w-a a-X X-S S-e e-S S-_
33	single	2	q e. ? a g t. a. q	_q e. ? a g t. a. q_	9	_-q q-e. e.-? ?-a a-g g-t. t.-a. a.-q q-_
34	single	2	H u q a. n H e q	_H u q a. n H e q_	9	_-H H-u u-q q-a. a.-n n-H H-e e-q q-_
35	single	2	x i n u x x a l	_x i n u x x a l_	9	_-x x-i i-n n-u u-x x-x x-a a-l l-_
36	single	2	q u. H i g k a w	_q u. H i g k a w_	9	_-q q-u. u.-H H-i i-g g-k k-a a-w w-_
37	single	1	a k X i z t. e.	_a k X i z t. e._	8	_-a a-k k-X X-i i-z z-t. t.-e. e.-_
38	single	2	w a s. a. H H a b	_w a s. a. H H a b_	9	_-w w-a a-s. s.-a. a.-H H-H H-a a-b b-_
39	single	1	e n S i t. X a	_e n S i t. X a_	8	_-e e-n n-S S-i i-t. t.-X X-a a-_
40	single	2	? u p u ? t a x	_? u p u ? t a x_	9	_-? ?-u u-p p-u u-? ?-t t-a a-x x-_
41	single	2	s. u. q a. l ? a q	_s. u. q a. l ? a q_	9	_-s. s.-u. u.-q q-a. a.-l l-? ?-a a-q q-_
42	single	2	j a d a p l a n	_j a d a p l a n_	9	_-j j-a a-d d-a a-p p-l l-a a-n n-_
43	single	3	s a u l e e g	_s a u l e e g_	8	_-s s-a a-u u-l l-e e-e e-g g-_
44	single	2	w e w e t b i p	_w e w e t b i p_	9	_-w w-e e-w w-e e-t t-b b-i i-p p-_
45	single	3	t. i. e. d e u X	_t. i. e. d e u X_	8	_-t. t.-i. i.-e. e.-d d-e e-u u-X X-_
46	single	1	u b t. u. r ? e	_u b t. u. r ? e_	8	_-u u-b b-t. t.-u. u.-r r-? ?-e e-_
47	single	2	t u w u q s u t	_t u w u q s u t_	9	_-t t-u u-w w-u u-q q-s s-u u-t t-_
48	single	2	x u k e s l i m	_x u k e s l i m_	9	_-x x-u u-k k-e e-s s-l l-i i-m m-_
49	single	3	X e a p i u H	_X e a p i u H_	8	_-X X-e e-a a-p p-i i-u u-H H-_
50	single	1	a w t. e. g X u	_a w t. e. g X u_	8	_-a a-w w-t. t.-e. e.-g g-X X-u u-_
51	single	1	i n m u l q u.	_i n m u l q u._	8	_-i i-n n-m m-u u-l l-q q-u. u.-_
52	single	2	l u q i. s. p a ?	_l u q i. s. p a ?_	9	_-l l-u u-q q-i. i.-s. s.-p p-a a-? ?-_
53	single	2	b i ? i p t. a. t	_b i ? i p t. a. t_	9	_-b b-i i-? ?-i i-p p-t. t.-a. a.-t t-_
54	single	2	S e t. u. p S i z	_S e t. u. p S i z_	9	_-S S-e e-t. t.-u. u.-p p-S S-i i-z z-_
55	single	2	g i q e. m q u. z	_g i q e. m q u. z_	9	_-g g-i i-q q-e. e.-m m-q q-u. u.-z z-_
56	single	2	g e s. i. s. k e x	_g e s. i. s. k e x_	9	_-g g-e e-s. s.-i. i.-s. s.-k k-e e-x x-_
57	single	1	a H H a g l i	_a H H a g l i_	8	_-a a-H H-H H-a a-g g-l l-i i-_
58	single	2	t e d a n z u s.	_t e d a n z u s._	9	_-t t-e e-d d-a a-n n-z z-u u-s. s.-_
59	single	2	k a k a X m a k	_k a k a X m a k_	9	_-k k-a a-k k-a a-X X-m m-a a-k k-_
60	single	2	H u g a ? t. i. t.	_H u g a ? t. i. t._	9	_-H H-u u-g g-a a-? ?-t. t.-i. i.-t. t.-_
61	single	2	s. e. q i. s s. i. t.	_s. e. q i. s s. i. t._	9	_-s. s.-e. e.-q q-i. i.-s s-s. s.-i. i.-t. t.-_
62	single	2	m i S a z H e t	_m i S a z H e t_	9	_-m m-i i-S S-a a-z z-H H-e e-t t-_
63	single	2	? u r u H g e n	_? u r u H g e n_	9	_-? ?-u u-r r-u u-H H-g g-e e-n n-_
64	single	2	S u s e s n u s	_S u s e s n u s_	9	_-S S-u u-s s-e e-s s-n n-u u-s s-_
65	single	3	q a. a. j e a j	_q a. a. j e a j_	8	_-q q-a. a.-a. a.-j j-e e-a a-j j-_
66	single	3	r a a b u e j	_r a a b u e j_	8	_-r r-a a-a a-b b-u u-e e-j j-_
67	single	1	e q k u m m a	_e q k u m m a_	8	_-e e-q q-k k-u u-m m-m m-a a-_
68	single	1	u S p i s x e	_u S p i s x e_	8	_-u u-S S-p p-i i-s s-x x-e e-_
69	single	3	b a u s. e. e. x	_b a u s. e. e. x_	8	_-b b-a a-u u-s. s.-e. e.-e. e.-x x-_
70	single	2	z e n a t. q e. s	_z e n a t. q e. s_	9	_-z z-e e-n n-a a-t. t.-q q-e. e.-s s-_
71	single	2	n a s. a. H w e H	_n a s. a. H w e H_	9	_-n n-a a-s. s.-a. a.-H H-w w-e e-H H-_
72	single	1	i q d e s t. a.	_i q d e s t. a._	8	_-i i-q q-d d-e e-s s-t. t.-a. a.-_
73	single	2	j a S u X r i s.	_j a S u X r i s._	9	_-j j-a a-S S-u u-X X-r r-i i-s. s.-_
74	single	2	s a t. u. t. w u d	_s a t. u. t. w u d_	9	_-s s-a a-t. t.-u. u.-t. t.-w w-u u-d d-_
75	single	2	g u s i l m e w	_g u s i l m e w_	9	_-g g-u u-s s-i i-l l-m m-e e-w w-_
76	single	3	l u a z u u l	_l u a z u u l_	8	_-l l-u u-a a-z z-u u-u u-l l-_
77	single	3	n e e b u u p	_n e e b u u p_	8	_-n n-e e-e e-b b-u u-u u-p p-_
